True persona,True name,True surname,Text,Correct,Predicted persona,Predicted surname,Predicted name
http://dati.camera.it/ocd/persona.rdf/p32460,UMBERTO,BOSSI,BOSSI F F C F A C C A F F A A A ,True,http://dati.camera.it/ocd/persona.rdf/p32460,BOSSI,UMBERTO
http://dati.camera.it/ocd/persona.rdf/p302754,CHIARA,BRAGA,BRAGA F F C F C F C F C F C ,True,http://dati.camera.it/ocd/persona.rdf/p302754,BRAGA,CHIARA
http://dati.camera.it/ocd/persona.rdf/p302822,MATTEO,BRAGANTINI,BRAGANTINI MATTEO F F C F C C C A C C A C F BRAGANTINI PAOLA F F C F C F C F C C F C F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p302838,MICHELA VITTORIA,BRAMBILLA,BRAMBILLA M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p302838,BRAMBILLA,MICHELA VITTORIA
http://dati.camera.it/ocd/persona.rdf/p305680,GIORGIO,BRANDOLIN,BRANDOLIN F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305680,BRANDOLIN,GIORGIO
http://dati.camera.it/ocd/persona.rdf/p305852,GIUSEPPE,BRESCIA,BRESCIA C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p305852,BRESCIA,GIUSEPPE
http://dati.camera.it/ocd/persona.rdf/p306881,BEATRICE,BRIGNONE,BRIGNONE ,True,http://dati.camera.it/ocd/persona.rdf/p306881,BRIGNONE,BEATRICE
http://dati.camera.it/ocd/persona.rdf/p305609,MARCO,BRUGNEROTTO,BRUGNEROTTO ,True,http://dati.camera.it/ocd/persona.rdf/p305609,BRUGNEROTTO,MARCO
http://dati.camera.it/ocd/persona.rdf/p302875,RENATO,BRUNETTA,BRUNETTA M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p302875,BRUNETTA,RENATO
http://dati.camera.it/ocd/persona.rdf/p302282,FRANCESCO,BRUNO,BRUNO F F C F C F C F C C F C F BRUNO BOSSIO F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p302282,BRUNO,FRANCESCO
http://dati.camera.it/ocd/persona.rdf/p306247,RENATA,BUENO,BUENO F F C F A F C A C C F A A ,True,http://dati.camera.it/ocd/persona.rdf/p306247,BUENO,RENATA
http://dati.camera.it/ocd/persona.rdf/p300410,GIOVANNI MARIO SALVINO,BURTONE,BURTONE F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p300410,BURTONE,GIOVANNI MARIO SALVINO
http://dati.camera.it/ocd/persona.rdf/p305630,FILIPPO,BUSIN,BUSIN F F C C A C C A F F A A A ,True,http://dati.camera.it/ocd/persona.rdf/p305630,BUSIN,FILIPPO
http://dati.camera.it/ocd/persona.rdf/p305602,FRANCESCA,BUSINAROLO,BUSINAROLO ,True,http://dati.camera.it/ocd/persona.rdf/p305602,BUSINAROLO,FRANCESCA
http://dati.camera.it/ocd/persona.rdf/p306026,MIRKO,BUSTO,BUSTO ,True,http://dati.camera.it/ocd/persona.rdf/p306026,BUSTO,MIRKO
http://dati.camera.it/ocd/persona.rdf/p35640,ROCCO,BUTTIGLIONE,BUTTIGLIONE F F C F C F C F C C C C F ,True,http://dati.camera.it/ocd/persona.rdf/p35640,BUTTIGLIONE,ROCCO
http://dati.camera.it/ocd/persona.rdf/p303200,ANNAGRAZIA,CALABRIA,CALABRIA M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p303200,CALABRIA,ANNAGRAZIA
http://dati.camera.it/ocd/persona.rdf/p303032,RAFFAELE,CALABRO',CALABRO’ F F C F C C C C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p303032,CALABRO',RAFFAELE
http://dati.camera.it/ocd/persona.rdf/p306687,VANESSA,CAMANI,CAMANI F F C C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p306687,CAMANI,VANESSA
http://dati.camera.it/ocd/persona.rdf/p305810,MICAELA,CAMPANA,CAMPANA ,True,http://dati.camera.it/ocd/persona.rdf/p305810,CAMPANA,MICAELA
http://dati.camera.it/ocd/persona.rdf/p306050,AZZURRA PIA MARIA,CANCELLERI,CANCELLERI C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p306050,CANCELLERI,AZZURRA PIA MARIA
http://dati.camera.it/ocd/persona.rdf/p305632,ROBERTO,CAON,CAON F F C F C C C A C C A C F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p50138,DAVIDE CARLO,CAPARINI,CAPARINI M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p50138,CAPARINI,DAVIDE CARLO
http://dati.camera.it/ocd/persona.rdf/p306066,ROBERTO,CAPELLI,CAPELLI F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p306066,CAPELLI,ROBERTO
http://dati.camera.it/ocd/persona.rdf/p302059,DANIELE,CAPEZZONE,CAPEZZONE ,True,http://dati.camera.it/ocd/persona.rdf/p302059,CAPEZZONE,DANIELE
http://dati.camera.it/ocd/persona.rdf/p301478,ANGELO,CAPODICASA,CAPODICASA F F C F C F C F C C F F F ,True,http://dati.camera.it/ocd/persona.rdf/p301478,CAPODICASA,ANGELO
http://dati.camera.it/ocd/persona.rdf/p305929,SALVATORE,CAPONE,CAPONE F F C F C F C F C C F C F 1 1 1 1 1 1 2 2 2 2 2 2 2 ,False,,,
http://dati.camera.it/ocd/persona.rdf/p305954,SABRINA,CAPOZZOLO,CAPOZZOLO ,True,http://dati.camera.it/ocd/persona.rdf/p305954,CAPOZZOLO,SABRINA
http://dati.camera.it/ocd/persona.rdf/p305618,ILARIA,CAPUA,CAPUA F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305618,CAPUA,ILARIA
http://dati.camera.it/ocd/persona.rdf/p306208,ERNESTO,CARBONE,CARBONE ,True,http://dati.camera.it/ocd/persona.rdf/p306208,CARBONE,ERNESTO
http://dati.camera.it/ocd/persona.rdf/p302881,DANIELA,CARDINALE,CARDINALE ,True,http://dati.camera.it/ocd/persona.rdf/p302881,CARDINALE,DANIELA
http://dati.camera.it/ocd/persona.rdf/p302792,RENZO,CARELLA,CARELLA F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p302792,CARELLA,RENZO
http://dati.camera.it/ocd/persona.rdf/p301531,MARIA ROSARIA,CARFAGNA,CARFAGNA F F C F C C C A F F A A F ,True,http://dati.camera.it/ocd/persona.rdf/p301531,CARFAGNA,MARIA ROSARIA
http://dati.camera.it/ocd/persona.rdf/p305868,FRANCESCO,CARIELLO,CARIELLO C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p305868,CARIELLO,FRANCESCO
http://dati.camera.it/ocd/persona.rdf/p306222,PAOLA,CARINELLI,CARINELLI ,True,http://dati.camera.it/ocd/persona.rdf/p306222,CARINELLI,PAOLA
http://dati.camera.it/ocd/persona.rdf/p302211,ANNA MARIA,CARLONI,CARLONI F F C F C F C F C F C F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p305539,ELENA,CARNEVALI,CARNEVALI F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305539,CARNEVALI,ELENA
http://dati.camera.it/ocd/persona.rdf/p305729,MARA,CAROCCI,CAROCCI F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305729,CAROCCI,MARA
http://dati.camera.it/ocd/persona.rdf/p302760,MARCO,CARRA,CARRA F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p302760,CARRA,MARCO
http://dati.camera.it/ocd/persona.rdf/p305776,PIERGIORGIO,CARRESCIA,CARRESCIA F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305776,CARRESCIA,PIERGIORGIO
http://dati.camera.it/ocd/persona.rdf/p306110,MARIA CHIARA,CARROZZA,CARROZZA F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p306110,CARROZZA,MARIA CHIARA
http://dati.camera.it/ocd/persona.rdf/p306243,MARIO,CARUSO,CARUSO F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p306243,CARUSO,MARIO
http://dati.camera.it/ocd/persona.rdf/p306202,EZIO PRIMO,CASATI,CASATI F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p306202,CASATI,EZIO PRIMO
