"persona","cognome","nome","info","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p10000","RESCIGNO","MATTEO","Laurea in giurisprudenza e in lettere; avvocato, insegnante.","19480427","19530624"
"http://dati.camera.it/ocd/persona.rdf/p1000","BONOMI","PAOLO","Laurea in scienze economiche e commerciali; pubblicista.","19480427","19530624"
"http://dati.camera.it/ocd/persona.rdf/p1000","BONOMI","PAOLO","Laurea in scienze economiche e commerciali; pubblicista.","19530615","19580611"
"http://dati.camera.it/ocd/persona.rdf/p1000","BONOMI","PAOLO","Laurea in scienze economiche e commerciali; pubblicista.","19580603","19630515"
"http://dati.camera.it/ocd/persona.rdf/p10010","RICCI","MARIO","Boscaiolo, sterratore.","19480423","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10010","RICCI","MARIO","Boscaiolo, sterratore.","19530615","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10020","RIGAMONTI","ACHILLE","Licenza media superiore; sindacalista.","19530615","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10030","RIVA","GIUSEPPE","Laurea in medicina e chirurgia; medico chirurgo.","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10030","RIVA","GIUSEPPE","Laurea in medicina e chirurgia; medico chirurgo.","19530617","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10040","ROCCHETTI","ERCOLE","Laurea in giurisprudenza e scienze politiche; avvocato.","19480426","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10040","ROCCHETTI","ERCOLE","Laurea in giurisprudenza e scienze politiche; avvocato.","19530617","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10040","ROCCHETTI","ERCOLE","Laurea in giurisprudenza e scienze politiche; avvocato.","19580603","19630515"
"http://dati.camera.it/ocd/persona.rdf/p10070","ROMANATO","GIUSEPPE","Laurea in lettere; insegnante.","19530615","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10070","ROMANATO","GIUSEPPE","Laurea in lettere; insegnante.","19580605","19630515"
"http://dati.camera.it/ocd/persona.rdf/p10080","ROMANO","BARTOLOMEO","Laurea in scienze economiche e commerciali; funzionario pubblico.","19530618","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10080","ROMANO","BARTOLOMEO","Laurea in scienze economiche e commerciali; funzionario pubblico.","19580601","19630515"
"http://dati.camera.it/ocd/persona.rdf/p10090","ROSSI","MARIA MADDALENA","Laurea in chimica.","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10090","ROSSI","MARIA MADDALENA","Laurea in chimica.","19530615","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10090","ROSSI","MARIA MADDALENA","Laurea in chimica.","19580531","19630515"
"http://dati.camera.it/ocd/persona.rdf/p10100","ROSSI","PAOLO","Laurea in giurisprudenza; avvocato, docente universitario.","19500302","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10100","ROSSI","PAOLO","Laurea in giurisprudenza; avvocato, docente universitario.","19530615","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10100","ROSSI","PAOLO","Laurea in giurisprudenza; avvocato, docente universitario.","19580605","19630515"
"http://dati.camera.it/ocd/persona.rdf/p10110","ROSSI","PAOLO MARIO","Licenza media superiore; funzionario di partito.","19580603","19630515"
"http://dati.camera.it/ocd/persona.rdf/p10120","RUBINO","ANGELO","Laurea in medicina e chirurgia; docente universitario.","19530615","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10140","RUSSO","SALVATORE","Laurea in lettere; insegnante.","19580618","19630515"
"http://dati.camera.it/ocd/persona.rdf/p10160","SABATINI","ARMANDO","Operaio, sindacalista.","19480427","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10160","SABATINI","ARMANDO","Operaio, sindacalista.","19530617","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10160","SABATINI","ARMANDO","Operaio, sindacalista.","19580605","19630515"
"http://dati.camera.it/ocd/persona.rdf/p10170","SACCENTI","DINO","Operaio.","19480422","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10170","SACCENTI","DINO","Operaio.","19530615","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10190","SAGGIN","MARIO","Laurea in scienze economiche e commerciali; commercialista.","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10200","SALERNO","NICOLA","Laurea in giurisprudenza; avvocato.","19480510","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10210","SALUTARI","RAFFAELLO","Licenza media superiore; dirigente d'azienda.","19580604","19630515"
"http://dati.camera.it/ocd/persona.rdf/p10220","SAMPIETRO","UMBERTO","Laurea in giurisprudenza; pubblicista.","19480429","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10220","SAMPIETRO","UMBERTO","Laurea in giurisprudenza; pubblicista.","19530616","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10230","SANZO","VITO","Laurea in giurisprudenza; funzionario pubblico.","19530616","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10260","SAVIO","EMANUELA","Laurea in lettere e filosofia; insegnante.","19530617","19580611"
