"persona","cognome","nome","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p200011","ALBERICI","AURELIANA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200012","ALBERTI","MARIA ELISABETTA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p1790","COLUCCI","FRANCESCO","20130305",
"http://dati.camera.it/ocd/persona.rdf/p200014","ALO'","PIETRO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200015","AMORENA","MICHELE","19960424","19990216"
"http://dati.camera.it/ocd/persona.rdf/p200016","ANDREINI","ELIOS","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200016","ANDREINI","ELIOS","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200017","ANDREOLI","REMO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200021","ANDREOTTI","GIULIO","19910601","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200021","ANDREOTTI","GIULIO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200021","ANDREOTTI","GIULIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200022","ANESI","EZIO","19920405","19931109"
"http://dati.camera.it/ocd/persona.rdf/p200023","ANGELONI","LUANA","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200023","ANGELONI","LUANA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200028","ARMANI","COSTANTINO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200032","AZZARA'","CARMELO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200032","AZZARA'","CARMELO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200035","BACCHIN","MAURIZIO","19920405","19930310"
"http://dati.camera.it/ocd/persona.rdf/p200036","BAGNOLI","PAOLO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200037","BAIOLETTI","ANTONELLA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200038","BALDELLI","ORIETTA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200040","BALDINI","MASSIMO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200042","BALLESI","CARLO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200042","BALLESI","CARLO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200045","BARBIERI","SILVIA","19920405","19940414"
