"persona","cognome","nome","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p10","ABBIATI","DOLORES","19680605","19720524"
"http://dati.camera.it/ocd/persona.rdf/p10140","RUSSO","SALVATORE","19530626","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10380","SERENI","EMILIO","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p10380","SERENI","EMILIO","19530613","19580611"
"http://dati.camera.it/ocd/persona.rdf/p10380","SERENI","EMILIO","19580603","19630515"
"http://dati.camera.it/ocd/persona.rdf/p11350","CAPPA","PAOLO","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p11390","D'ONOFRIO","EDOARDO","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p11500","VERGANI","PIETRO LUDOVICO","19580612","19630515"
"http://dati.camera.it/ocd/persona.rdf/p11500","VERGANI","PIETRO LUDOVICO","19630516","19680604"
"http://dati.camera.it/ocd/persona.rdf/p11770","MINIO","ENRICO","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p11770","MINIO","ENRICO","19530611","19580611"
"http://dati.camera.it/ocd/persona.rdf/p11770","MINIO","ENRICO","19580531","19630515"
"http://dati.camera.it/ocd/persona.rdf/p12230","BASTIANETTO","CELESTE","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p12360","BERLINGUER","MARIO","19480423","19530624"
"http://dati.camera.it/ocd/persona.rdf/p12550","TERRAGNI","GIUSEPPE","19570712","19580611"
"http://dati.camera.it/ocd/persona.rdf/p12570","GRAZI","ENRICO","19530613","19530930"
"http://dati.camera.it/ocd/persona.rdf/p12850","CASO","GIOVANNI","19480423","19530624"
"http://dati.camera.it/ocd/persona.rdf/p13170","ZANNERINI","EMILIO","19510125","19530624"
"http://dati.camera.it/ocd/persona.rdf/p13250","NEGARVILLE","CELESTE CARLO","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p13250","NEGARVILLE","CELESTE CARLO","19530614","19580611"
"http://dati.camera.it/ocd/persona.rdf/p13300","GHIDETTI","VITTORIO","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p13360","ALLEGATO","LUIGI","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p13530","BUBBIO","TEODORO","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p13710","CASTAGNO","LUIGI","19480424","19530624"
"http://dati.camera.it/ocd/persona.rdf/p13740","PLATONE","FELICE","19500207","19530624"
"http://dati.camera.it/ocd/persona.rdf/p13770","MENTASTI","PIETRO","19480421","19530624"
"http://dati.camera.it/ocd/persona.rdf/p1420","CARUSO","ANTONIO","19630508","19680604"
"http://dati.camera.it/ocd/persona.rdf/p14310","BARTESAGHI","UGO","19630505","19680604"
"http://dati.camera.it/ocd/persona.rdf/p14530","ARFE'","GAETANO","19720525","19760704"
"http://dati.camera.it/ocd/persona.rdf/p15580","GATTO","VINCENZO","19720514","19760704"
"http://dati.camera.it/ocd/persona.rdf/p1570","CERRI","CARLO","19700430","19720524"
"http://dati.camera.it/ocd/persona.rdf/p15760","LA PENNA","GIROLAMO","19680524","19720524"
"http://dati.camera.it/ocd/persona.rdf/p15760","LA PENNA","GIROLAMO","19720512","19760704"
"http://dati.camera.it/ocd/persona.rdf/p15990","MARTINELLI","MARIO","19630505","19680604"
"http://dati.camera.it/ocd/persona.rdf/p15990","MARTINELLI","MARIO","19680527","19720524"
"http://dati.camera.it/ocd/persona.rdf/p15990","MARTINELLI","MARIO","19720513","19760704"
"http://dati.camera.it/ocd/persona.rdf/p16000","MARTINO","LEOPOLDO ATTILIO","19730726","19760704"
"http://dati.camera.it/ocd/persona.rdf/p17090","ZUCCALA'","MICHELE","19680605","19720524"
"http://dati.camera.it/ocd/persona.rdf/p17090","ZUCCALA'","MICHELE","19720525","19760704"
"http://dati.camera.it/ocd/persona.rdf/p17340","SPIGAROLI","ALBERTO","19630516","19680604"
"http://dati.camera.it/ocd/persona.rdf/p17340","SPIGAROLI","ALBERTO","19680605","19720524"
"http://dati.camera.it/ocd/persona.rdf/p17340","SPIGAROLI","ALBERTO","19720525","19760704"
"http://dati.camera.it/ocd/persona.rdf/p17670","ABENANTE","ANGELO","19680605","19720524"
"http://dati.camera.it/ocd/persona.rdf/p17670","ABENANTE","ANGELO","19720525","19760704"
"http://dati.camera.it/ocd/persona.rdf/p17680","ADAMOLI","GELASIO","19630506","19680604"
"http://dati.camera.it/ocd/persona.rdf/p17680","ADAMOLI","GELASIO","19680527","19720524"
"http://dati.camera.it/ocd/persona.rdf/p17680","ADAMOLI","GELASIO","19720517","19760704"
"http://dati.camera.it/ocd/persona.rdf/p17690","AGRIMI","ALESSANDRO","19630508","19680604"
"http://dati.camera.it/ocd/persona.rdf/p17690","AGRIMI","ALESSANDRO","19720518","19760704"
"http://dati.camera.it/ocd/persona.rdf/p17710","ALBARELLO","ADELIO","19630505","19680604"
"http://dati.camera.it/ocd/persona.rdf/p17710","ALBARELLO","ADELIO","19680525","19720524"
"http://dati.camera.it/ocd/persona.rdf/p17710","ALBARELLO","ADELIO","19720514","19760704"
"http://dati.camera.it/ocd/persona.rdf/p17720","ALBERTINI","FRANCESCO","19680525","19720524"
"http://dati.camera.it/ocd/persona.rdf/p17720","ALBERTINI","FRANCESCO","19720516","19760704"
