"d","cognome","nome","membroGoverno","dataInizio","dataFine","carica","nomeGoverno","nomeOrganoGoverno","delega","aggiornamento"
"http://dati.camera.it/ocd/deputato.rdf/d18910_5","GONELLA","GUIDO","http://dati.camera.it/ocd/membroGoverno.rdf/mg18910_3_24_9_19720217","19720217","19720626","MINISTRO","I Governo Andreotti (17.02.1972 - 26.06.1972)","MINISTERO DI GRAZIA E GIUSTIZIA",,2022-05-02 14:10:01
"http://dati.camera.it/ocd/deputato.rdf/d200021_5","ANDREOTTI","GIULIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg200021_1_24_1_19720217","19720217","19720626","PRESIDENTE DEL CONSIGLIO","I Governo Andreotti (17.02.1972 - 26.06.1972)","PRESIDENZA DEL CONSIGLIO DEI MINISTRI",,2022-05-02 14:50:54
"http://dati.camera.it/ocd/deputato.rdf/d200021_5","ANDREOTTI","GIULIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg200021_3_24_33_19720531","19720531","19720626","MINISTRO","I Governo Andreotti (17.02.1972 - 26.06.1972)","MINISTERO DELLE PARTECIPAZIONI STATALI",,2022-05-02 14:50:54
"http://dati.camera.it/ocd/deputato.rdf/d200929_5","TAVIANI","PAOLO EMILIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg200929_3_24_4_19720217","19720217","19720626","MINISTRO","I Governo Andreotti (17.02.1972 - 26.06.1972)","MINISTERO DEL BILANCIO E DELLA PROGRAMMAZIONE ECONOMICA",,2019-04-05 13:26:23
"http://dati.camera.it/ocd/deputato.rdf/d1250_5","CAIATI","ITALO GIULIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg1250_6_24_1_19720217","19720217","19720626","MINISTRO SENZA PORTAFOGLIO","I Governo Andreotti (17.02.1972 - 26.06.1972)","PRESIDENZA DEL CONSIGLIO DEI MINISTRI","con delega per gli interventi straordinari nel Mezzogiorno e nelle zone depresse del Centro Nord (17.02.1972)",2022-05-02 14:39:49
"http://dati.camera.it/ocd/deputato.rdf/d1010_5","BORGHI","LUIGI","http://dati.camera.it/ocd/membroGoverno.rdf/mg1010_5_24_8_19720223","19720223","19720626","SOTTOSEGRETARIO DI STATO","I Governo Andreotti (17.02.1972 - 26.06.1972)","MINISTERO DELLE FINANZE",,2022-05-02 14:09:16
"http://dati.camera.it/ocd/deputato.rdf/d14360_5","RESTIVO","FRANCESCO","http://dati.camera.it/ocd/membroGoverno.rdf/mg14360_3_24_6_19720217","19720217","19720626","MINISTRO","I Governo Andreotti (17.02.1972 - 26.06.1972)","MINISTERO DELLA DIFESA",,2019-04-05 13:15:49
"http://dati.camera.it/ocd/deputato.rdf/d1590_5","CERVONE","VITTORIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg1590_5_24_34_19720223","19720223","19720626","SOTTOSEGRETARIO DI STATO","I Governo Andreotti (17.02.1972 - 26.06.1972)","MINISTERO DELLA MARINA MERCANTILE",,2019-04-05 13:25:51
"http://dati.camera.it/ocd/deputato.rdf/d1770_5","COLOMBO","EMILIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg1770_3_24_12_19720217","19720217","19720626","MINISTRO","I Governo Andreotti (17.02.1972 - 26.06.1972)","MINISTERO DEL TESORO",,2019-04-05 13:34:51
"http://dati.camera.it/ocd/deputato.rdf/d19920_5","SARTI","ADOLFO","http://dati.camera.it/ocd/membroGoverno.rdf/mg19920_5_24_15_19720223","19720223","19720626","SOTTOSEGRETARIO DI STATO","I Governo Andreotti (17.02.1972 - 26.06.1972)","MINISTERO DELL'INTERNO",,2019-04-05 13:38:08
