"persona","cognome","nome","info","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p1370","CARIGLIA","ANTONIO","Laurea in scienze politiche e sociali; pubblicista.","19920422","19940414"
"http://dati.camera.it/ocd/persona.rdf/p1380","CAROLI","GIUSEPPE","Laurea in giurisprudenza; avvocato.","19910321","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1380","CAROLI","GIUSEPPE","Laurea in giurisprudenza; avvocato.","19920418","19940414"
"http://dati.camera.it/ocd/persona.rdf/p140","ALMIRANTE","GIORGIO","Laurea in lettere; giornalista.","19870627","19880522"
"http://dati.camera.it/ocd/persona.rdf/p14200","ROCELLI","GIANFRANCO","Impiegato","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14230","PINTOR","LUIGI","Giornalista.","19870626","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14400","ALBORGHETTI","GUIDO","Libero professionista","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14420","ALINOVI","ABDON","Funzionario di partito","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14450","AMALFITANO","DOMENICO","Insegnante","19870626","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14510","ANIASI","ALDO","Pubblicista","19870623","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14510","ANIASI","ALDO","Pubblicista","19920417","19940414"
"http://dati.camera.it/ocd/persona.rdf/p14600","BARBERA","AUGUSTO ANTONIO","Laurea in giurisprudenza; docente universitario","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14600","BARBERA","AUGUSTO ANTONIO","Laurea in giurisprudenza; docente universitario","19920417","19940414"
"http://dati.camera.it/ocd/persona.rdf/p14640","BELLOCCHIO","ANTONIO","Giornalista.","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14680","BIANCHI","ROMANA","Insgenante","19870623","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14710","BONINO","EMMA","Laurea in lingue e letterature straniere; attivita' nell'ambito di partito politico","19870625","19870702"
"http://dati.camera.it/ocd/persona.rdf/p14710","BONINO","EMMA","Laurea in lingue e letterature straniere; attivita' nell'ambito di partito politico","19900710","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14710","BONINO","EMMA","Laurea in lingue e letterature straniere; attivita' nell'ambito di partito politico","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p14710","BONINO","EMMA","Laurea in lingue e letterature straniere; attivita' nell'ambito di partito politico","19940405","19950124"
"http://dati.camera.it/ocd/persona.rdf/p14710","BONINO","EMMA","Laurea in lingue e letterature straniere; attivita' nell'ambito di partito politico","20060421","20080428"
"http://dati.camera.it/ocd/persona.rdf/p14720","BORRI","ANDREA","Laurea in giurisprudenza; notaio","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14720","BORRI","ANDREA","Laurea in giurisprudenza; notaio","19920413","19940414"
"http://dati.camera.it/ocd/persona.rdf/p14730","BORRUSO","ANDREA","Laurea in scienze politiche; sociologo","19870623","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14770","BROCCA","BENIAMINO","Laurea in pedagogia; insegnante","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14840","CAMPAGNOLI","MARIO","Laurea in medicina veterinaria; docente universitario","19870623","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14890","CAPRIA","NICOLA","Laurea in giurisprudenza; avvocato","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14890","CAPRIA","NICOLA","Laurea in giurisprudenza; avvocato","19920418","19940414"
