True persona,True name,True surname,Text,Correct,Predicted persona,Predicted surname,Predicted name
http://dati.camera.it/ocd/persona.rdf/p305590,MICHELE,NICOLETTI,NICOLETTI C C C C C C C C C C ,True,http://dati.camera.it/ocd/persona.rdf/p305590,NICOLETTI,MICHELE
http://dati.camera.it/ocd/persona.rdf/p302837,SETTIMO,NIZZI,NIZZI F F C C C F C C C F C F F ,True,http://dati.camera.it/ocd/persona.rdf/p302837,NIZZI,SETTIMO
http://dati.camera.it/ocd/persona.rdf/p306038,RICCARDO,NUTI,NUTI ,True,http://dati.camera.it/ocd/persona.rdf/p306038,NUTI,RICCARDO
http://dati.camera.it/ocd/persona.rdf/p302969,ROBERTO,OCCHIUTO,OCCHIUTO F F C C C F C C C F C F F ,True,http://dati.camera.it/ocd/persona.rdf/p302969,OCCHIUTO,ROBERTO
http://dati.camera.it/ocd/persona.rdf/p305737,ROBERTA,OLIARO,OLIARO ,True,http://dati.camera.it/ocd/persona.rdf/p305737,OLIARO,ROBERTA
http://dati.camera.it/ocd/persona.rdf/p301408,NICODEMO NAZZARENO,OLIVERIO,OLIVERIO C C C C C C C C C C C C C ,True,http://dati.camera.it/ocd/persona.rdf/p301408,OLIVERIO,NICODEMO NAZZARENO
http://dati.camera.it/ocd/persona.rdf/p305815,MATTEO,ORFINI,ORFINI C C C C C C C C C C ,True,http://dati.camera.it/ocd/persona.rdf/p305815,ORFINI,MATTEO
http://dati.camera.it/ocd/persona.rdf/p301463,ANDREA,ORLANDO,ORLANDO M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p301463,ORLANDO,ANDREA
http://dati.camera.it/ocd/persona.rdf/p305584,MAURO,OTTOBRE,OTTOBRE ,True,http://dati.camera.it/ocd/persona.rdf/p305584,OTTOBRE,MAURO
http://dati.camera.it/ocd/persona.rdf/p305866,ALBERTO,PAGANI,PAGANI C C C C C C C C C C C C C ,True,http://dati.camera.it/ocd/persona.rdf/p305866,PAGANI,ALBERTO
http://dati.camera.it/ocd/persona.rdf/p305866,ALBERTO,PAGANI,PAGANO ,False,,,
http://dati.camera.it/ocd/persona.rdf/p306282,GIOVANNI,PAGLIA,PAGLIA F F F F F F F F F F F F F ,True,http://dati.camera.it/ocd/persona.rdf/p306282,PAGLIA,GIOVANNI
http://dati.camera.it/ocd/persona.rdf/p306304,ERASMO,PALAZZOTTO,PALAZZOTTO ,True,http://dati.camera.it/ocd/persona.rdf/p306304,PALAZZOTTO,ERASMO
http://dati.camera.it/ocd/persona.rdf/p305959,ROCCO,PALESE,PALESE F F C C C F C C C F C F F ,True,http://dati.camera.it/ocd/persona.rdf/p305959,PALESE,ROCCO
http://dati.camera.it/ocd/persona.rdf/p305871,GIOVANNA,PALMA,PALMA C C C C C C C C C C C C C ,False,,,
http://dati.camera.it/ocd/persona.rdf/p300453,ANTONIO,PALMIERI,PALMIERI ,True,http://dati.camera.it/ocd/persona.rdf/p300453,PALMIERI,ANTONIO
http://dati.camera.it/ocd/persona.rdf/p50366,ELIO MASSIMO,PALMIZIO,PALMIZIO F F C C C F C C C F C F F ,True,http://dati.camera.it/ocd/persona.rdf/p50366,PALMIZIO,ELIO MASSIMO
http://dati.camera.it/ocd/persona.rdf/p305883,ANNA LUCIA LISA,PANNARALE,PANNARALE F F F F F F F F F F F F F ,True,http://dati.camera.it/ocd/persona.rdf/p305883,PANNARALE,ANNA LUCIA LISA
http://dati.camera.it/ocd/persona.rdf/p306124,PAOLO,PARENTELA,PARENTELA ,False,,,
http://dati.camera.it/ocd/persona.rdf/p302868,MASSIMO,PARISI,PARISI F C C C C F C C C F C F F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p306152,DARIO,PARRINI,PARRINI C C C C C C C C C C C C C ,True,http://dati.camera.it/ocd/persona.rdf/p306152,PARRINI,DARIO
http://dati.camera.it/ocd/persona.rdf/p305658,ORESTE,PASTORELLI,PASTORELLI C C C C C C C C C C C C C ,True,http://dati.camera.it/ocd/persona.rdf/p305658,PASTORELLI,ORESTE
http://dati.camera.it/ocd/persona.rdf/p305733,LUCA,PASTORINO,PASTORINO ,True,http://dati.camera.it/ocd/persona.rdf/p305733,PASTORINO,LUCA
http://dati.camera.it/ocd/persona.rdf/p305565,EDOARDO,PATRIARCA,PATRIARCA C C C C C C C C C C C C C ,True,http://dati.camera.it/ocd/persona.rdf/p305565,PATRIARCA,EDOARDO
http://dati.camera.it/ocd/persona.rdf/p305924,MICHELE,PELILLO,PELILLO ,True,http://dati.camera.it/ocd/persona.rdf/p305924,PELILLO,MICHELE
